product,transaction_count,total_sales,avg_sales,highest_price,lowest_price
Smartphone iPhone,$410.00,"$3,400.00",$8.29,"$1,133.33",$666.43
Smart TV Samsung,$47.00,"$1,733.33",$36.88,$866.67,$509.62
Smartphone Samsung,$120.00,"$1,700.00",$14.17,$566.67,$333.21
Laptop ASUS,$464.00,"$1,600.00",$3.45,$800.00,$470.42
Laptop MSI,$445.00,"$1,466.67",$3.30,"$1,466.67",$862.43
Laptop Lenovo,$417.00,"$1,466.67",$3.52,$733.33,$431.22
Camera Canon,$402.00,"$1,200.00",$2.99,$600.00,$352.81
Gaming Console Xbox Series X,$115.00,"$1,133.33",$9.86,$566.67,$333.21
Bicycle Polygon,$274.00,"$1,066.67",$3.89,$533.33,$313.61
Electric Scooter Xiaomi,$218.00,"$1,000.00",$4.59,$333.33,$196.01
E-Bike United,$325.00,"$1,000.00",$3.08,"$1,000.00",$588.02
Tablet Apple,$463.00,"$1,000.00",$2.16,"$1,000.00",$588.02
VR Headset Oculus,$446.00,$933.33,$2.09,$466.67,$274.41
TV LG,$57.00,$933.33,$16.37,$466.67,$274.41
Earbuds Apple AirPods,$474.00,$700.00,$1.48,$233.33,$137.21
Smart Thermostat Nest,$406.00,$666.67,$1.64,$333.33,$196.01
Washing Machine LG,$253.00,$666.67,$2.64,$333.33,$196.01
Headphone Sony,$402.00,$666.67,$1.66,$166.67,$98.00
Home Theater Sony,$124.00,$666.67,$5.38,$666.67,$392.02
Smartwatch Garmin,$383.00,$666.67,$1.74,$333.33,$196.01
Tablet Samsung,$189.00,$600.00,$3.17,$600.00,$352.81
Robot Vacuum iRobot,$436.00,$600.00,$1.38,$600.00,$352.81
Fitness Tracker Fitbit,$232.00,$600.00,$2.59,$200.00,$117.60
Gaming Console PlayStation 5,$379.00,$600.00,$1.58,$600.00,$352.81
Bluetooth Speaker JBL,$198.00,$533.33,$2.69,$133.33,$78.40
Refrigerator Samsung,$143.00,$533.33,$3.73,$533.33,$313.61
Smart Door Lock Xiaomi,$465.00,$533.33,$1.15,$266.67,$156.81
Smart Light Philips Hue,$190.00,$500.00,$2.63,$100.00,$58.80
GPU NVIDIA RTX 3050 ,$159.00,$500.00,$3.14,$500.00,$294.01
Projector Epson,$69.00,$466.67,$6.76,$466.67,$274.41
Tripod Manfrotto,$253.00,$400.00,$1.58,$133.33,$78.40
Monitor Dell,$412.00,$400.00,$0.97,$200.00,$117.60
Air Conditioner Daikin,$344.00,$400.00,$1.16,$400.00,$235.21
Microwave Panasonic,$209.00,$400.00,$1.91,$133.33,$78.40
External HDD WD 4TB,$186.00,$400.00,$2.15,$133.33,$78.40
SSD Samsung 1TB,$176.00,$360.00,$2.05,$120.00,$70.56
Hard Drive Seagate 2TB,$491.00,$320.00,$0.65,$80.00,$47.04
Blender Philips,$208.00,$266.67,$1.28,$66.67,$39.20
Printer Epson,$471.00,$266.67,$0.57,$266.67,$156.81
Power Supply Corsair 750W,$78.00,$266.67,$3.42,$133.33,$78.40
Router TP-Link,$155.00,$200.00,$1.29,$100.00,$58.80
Gaming Mouse Logitech,$265.00,$200.00,$0.75,$66.67,$39.20
Mechanical Keyboard Keychron,$212.00,$200.00,$0.94,$100.00,$58.80
USB Flash Drive SanDisk 128GB,$16.00,$200.00,$12.50,$20.00,$11.76
RAM Corsair 16GB,$403.00,$186.67,$0.46,$93.33,$54.88
Keyboard Logitech,$338.00,$166.67,$0.49,$33.33,$19.60
Mouse Razer,$396.00,$150.00,$0.38,$50.00,$29.40
